2.01E+03,9.00E+00,3.00E+01,2.00E+01,3.10E+01,4.00E+01,9/30/2010,8:31:40 PM,0.25660209
2.01E+03,1.00E+01,1.00E+00,0.00E+00,1.50E+01,1.80E+01,10/1/2010,12:15:18 AM,0.21093013
2.01E+03,1.00E+01,1.00E+00,4.00E+00,1.50E+01,1.70E+01,10/1/2010,4:15:17 AM,0.26418441
2.01E+03,1.00E+01,1.00E+00,8.00E+00,1.50E+01,1.40E+01,10/1/2010,8:15:14 AM,0.23709564
2.01E+03,1.00E+01,1.00E+00,1.20E+01,1.50E+01,2.00E+01,10/1/2010,12:15:20 PM,0.21717091
2.01E+03,1.00E+01,1.00E+00,1.60E+01,1.50E+01,1.90E+01,10/1/2010,4:15:19 PM,0.23360696
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.01E+03,1.00E+01,2.00E+00,0.00E+00,1.60E+01,1.00E+00,10/2/2010,12:16:01 AM,0.21438521
2.01E+03,1.00E+01,2.00E+00,6.00E+00,1.60E+01,0.00E+00,10/2/2010,6:16:00 AM,0.28331400
2.01E+03,1.00E+01,2.00E+00,1.20E+01,1.50E+01,5.90E+01,10/2/2010,12:15:59 PM,0.27680229
2.01E+03,1.00E+01,2.00E+00,1.80E+01,1.50E+01,5.90E+01,10/2/2010,6:15:59 PM,0.15955642
2.01E+03,1.00E+01,3.00E+00,0.00E+00,1.60E+01,0.00E+00,10/3/2010,12:16:00 AM,0.21866277
2.01E+03,1.00E+01,3.00E+00,6.00E+00,1.50E+01,4.30E+01,10/3/2010,6:15:43 AM,0.15928289
2.01E+03,1.00E+01,3.00E+00,1.20E+01,1.50E+01,4.70E+01,10/3/2010,12:15:47 PM,0.18846969
2.01E+03,1.00E+01,3.00E+00,1.80E+01,1.60E+01,9.00E+00,10/3/2010,6:16:09 PM,0.15027762
2.01E+03,1.00E+01,4.00E+00,0.00E+00,1.50E+01,4.80E+01,10/4/2010,12:15:48 AM,0.26389622
2.01E+03,1.00E+01,4.00E+00,6.00E+00,1.50E+01,4.50E+01,10/4/2010,6:15:45 AM,0.28294283
2.01E+03,1.00E+01,4.00E+00,1.20E+01,1.50E+01,4.60E+01,10/4/2010,12:15:46 PM,0.25547436
2.01E+03,1.00E+01,4.00E+00,1.80E+01,1.50E+01,4.30E+01,10/4/2010,6:15:43 PM,0.19456388
